threshold,mode,hold_hours,cost,trend_filter_abs_24h,n,win_rate,avg,median,std,sum
0.0988,alternating,4,0.0008,none,901,0.4694783573806881,-0.00046817211182726326,-0.0007443128621887667,0.017159138739317542,-0.4218230727563642
0.0988,alternating,4,0.0008,0.02,410,0.4658536585365854,0.00014954908096958617,-0.00098579512429423,0.01345157170244622,0.06131512319753033
0.0988,alternating,24,0.0004,none,901,0.4894561598224195,-0.0012147576833319103,-0.0007856921751910214,0.04070407788900622,-1.094496672682051
0.0988,alternating,24,0.0004,0.02,410,0.4634146341463415,-0.0014569185919436826,-0.002820119667536025,0.03479546967663074,-0.5973366226969099
0.0988,alternating,24,0.0006,none,901,0.48612652608213097,-0.0014147576833319388,-0.0009856921751910212,0.04070407788900622,-1.2746966726820768
0.0988,alternating,24,0.0006,0.02,410,0.4609756097560976,-0.0016569185919436886,-0.0030201196675360246,0.03479546967663074,-0.6793366226969123
0.0988,alternating,24,0.0008,none,901,0.4839067702552719,-0.0016147576833319187,-0.0011856921751910213,0.04070407788900622,-1.4548966726820587
0.0988,alternating,24,0.0008,0.02,410,0.4609756097560976,-0.001856918591943695,-0.0032201196675360247,0.03479546967663074,-0.7613366226969149
0.0988,alternating,48,0.0004,none,901,0.49278579356270813,-0.0013604500499542686,-0.0007448282866251872,0.04997767356162209,-1.225765495008796
0.0988,alternating,48,0.0004,0.02,410,0.4951219512195122,-0.0004581569498755001,-0.0006235192607862313,0.04547619254669342,-0.18784434944895506
0.0988,alternating,48,0.0006,none,901,0.48834628190899,-0.0015604500499542817,-0.0009448282866251872,0.04997767356162209,-1.4059654950088079
0.0988,alternating,48,0.0006,0.02,410,0.4902439024390244,-0.0006581569498754879,-0.0008235192607862311,0.04547619254669342,-0.26984434944895
0.0988,alternating,48,0.0008,none,901,0.48834628190899,-0.0017604500499542697,-0.0011448282866251872,0.04997767356162209,-1.5861654950087969
0.0988,alternating,48,0.0008,0.02,410,0.4902439024390244,-0.000858156949875499,-0.0010235192607862312,0.04547619254669342,-0.3518443494489546
