trade_no,timestamp,timestamp_kst,direction,gross_return,size,cost,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp
152,1664712000000,2022-10-02 21:00,long,-0.012493395418567754,1.0,0.00055,-0.013043395418567754,-155.92121380415037,11954.035647971752,11798.1144341676,sl,1664751900000
153,1664780400000,2022-10-03 16:00,short,-0.013485160849768363,1.0,0.00055,-0.014035160849768363,-165.58843380751614,11798.1144341676,11632.526000360085,sl,1664807400000
154,1664989200000,2022-10-06 02:00,long,-0.015336385129042562,1.0,0.00055,-0.01588638512904256,-184.7987880653214,11632.526000360085,11447.727212294763,sl,1665065100000
155,1665064800000,2022-10-06 23:00,short,0.02517808922787701,1.0,0.00055,0.02462808922787701,281.9356472407912,11447.727212294763,11729.662859535554,tp,1665147000000
156,1665316800000,2022-10-09 21:00,long,-0.013558468648288913,1.0,0.00055,-0.014108468648288913,-165.48758070875624,11729.662859535554,11564.175278826799,sl,1665390300000
157,1665428400000,2022-10-11 04:00,short,0.011787338503309819,1.0,0.00055,0.011237338503309819,129.95055211978394,11564.175278826799,11694.125830946583,timeout,1665514800000
158,1665500400000,2022-10-12 00:00,long,0.0029204058103469155,1.0,0.00055,0.0023704058103469153,27.71982381660373,11694.125830946583,11721.845654763187,timeout,1665586800000
159,1665572400000,2022-10-12 20:00,short,0.02507778030297092,1.0,0.00055,0.02452778030297092,287.51085496536575,11721.845654763187,12009.356509728552,tp,1665657000000
160,1666000800000,2022-10-17 19:00,long,0.009588520654087107,1.0,0.00055,0.009038520654087107,108.54681685547696,12009.356509728552,12117.903326584028,timeout,1666087200000
161,1666130400000,2022-10-19 07:00,short,0.004294865636141343,1.0,0.00055,0.0037448656361413427,45.37991974980739,12117.903326584028,12163.283246333835,timeout,1666216800000
162,1666191600000,2022-10-20 00:00,long,0.00842651871935729,1.0,0.00055,0.00787651871935729,95.80432817859335,12163.283246333835,12259.087574512429,timeout,1666278000000
163,1666360800000,2022-10-21 23:00,long,0.008913868498115596,1.0,0.00055,0.008363868498115596,102.53339638010483,12259.087574512429,12361.620970892533,timeout,1666447200000
164,1666458000000,2022-10-23 02:00,short,0.0006568675238962651,1.0,0.00055,0.0001068675238962651,1.3210558245034294,12361.620970892533,12362.942026717035,timeout,1666544400000
165,1666627200000,2022-10-25 01:00,long,0.025177441882762608,1.0,0.00055,0.02462744188276261,304.46763626293716,12362.942026717035,12667.409662979973,tp,1666713000000
